,from_person,to_person,timestamp,connection_id,forward
13899,A00564,A03128,2024-08-30 13:09:14.263,A00564_A03128,False
13900,A00546,A00458,2024-08-30 13:09:28.715,A00546_A00458,True
13901,A00458,A00546,2024-08-30 13:09:28.715,A00458_A00546,False
13902,A00378,A01758,2024-08-30 13:10:04.756,A00378_A01758,True
13903,A01758,A00378,2024-08-30 13:10:04.756,A01758_A00378,False
13904,A02352,A01762,2024-08-30 13:10:24.092,A02352_A01762,True
13905,A01762,A02352,2024-08-30 13:10:24.092,A01762_A02352,False
13906,A00977,A03064,2024-08-30 13:10:25.152,A00977_A03064,True
13907,A03064,A00977,2024-08-30 13:10:25.152,A03064_A00977,False
13908,A02030,A03766,2024-08-30 13:10:28.492,A02030_A03766,True
13909,A03766,A02030,2024-08-30 13:10:28.492,A03766_A02030,False
13910,A02343,A00300,2024-08-30 13:10:29.812,A02343_A00300,True
13911,A00300,A02343,2024-08-30 13:10:29.812,A00300_A02343,False
13912,A02343,A03064,2024-08-30 13:10:52.379,A02343_A03064,True
13913,A03064,A02343,2024-08-30 13:10:52.379,A03064_A02343,False
13914,A01477,A02572,2024-08-30 13:10:59.319,A01477_A02572,True
13915,A02572,A01477,2024-08-30 13:10:59.319,A02572_A01477,False
13916,A00113,A01199,2024-08-30 13:11:01.076,A00113_A01199,True
13917,A01199,A00113,2024-08-30 13:11:01.076,A01199_A00113,False
13918,A00113,A00105,2024-08-30 13:11:15.647,A00113_A00105,True
13919,A00105,A00113,2024-08-30 13:11:15.647,A00105_A00113,False
13920,A01336,A00535,2024-08-30 09:36:56.059,A01336_A00535,True
13921,A00535,A01336,2024-08-30 09:36:56.059,A00535_A01336,False
13922,A03822,A01290,2024-08-30 09:37:01.323,A03822_A01290,True
13923,A01290,A03822,2024-08-30 09:37:01.323,A01290_A03822,False
13924,A03822,A02910,2024-08-30 09:37:14.460,A03822_A02910,True
13925,A02910,A03822,2024-08-30 09:37:14.460,A02910_A03822,False
13926,A02072,A01755,2024-08-30 09:37:44.332,A02072_A01755,True
13927,A01755,A02072,2024-08-30 09:37:44.332,A01755_A02072,False
13928,A02352,A00599,2024-08-30 09:38:17.791,A02352_A00599,True
13929,A00599,A02352,2024-08-30 09:38:17.791,A00599_A02352,False
13930,A01230,A02939,2024-08-30 09:41:01.362,A01230_A02939,True
13931,A02939,A01230,2024-08-30 09:41:01.362,A02939_A01230,False
13932,A00613,A00535,2024-08-30 09:41:35.123,A00613_A00535,True
13933,A00535,A00613,2024-08-30 09:41:35.123,A00535_A00613,False
13934,A02734,A01695,2024-08-30 09:44:18.319,A02734_A01695,True
13935,A01695,A02734,2024-08-30 09:44:18.319,A01695_A02734,False
13936,A01135,A00866,2024-08-30 09:45:16.319,A01135_A00866,True
13937,A00866,A01135,2024-08-30 09:45:16.319,A00866_A01135,False
13938,A02978,A01451,2024-08-30 09:45:29.590,A02978_A01451,True
13939,A01451,A02978,2024-08-30 09:45:29.590,A01451_A02978,False
13940,A02319,A02379,2024-08-30 09:45:58.276,A02319_A02379,True
13941,A02379,A02319,2024-08-30 09:45:58.276,A02379_A02319,False
13942,A00977,A02237,2024-08-30 09:48:44.272,A00977_A02237,True
13943,A02237,A00977,2024-08-30 09:48:44.272,A02237_A00977,False
13944,A00113,A01465,2024-08-30 09:48:57.524,A00113_A01465,True
13945,A01465,A00113,2024-08-30 09:48:57.524,A01465_A00113,False
13946,A00113,A03048,2024-08-30 09:49:14.311,A00113_A03048,True
13947,A03048,A00113,2024-08-30 09:49:14.311,A03048_A00113,False
13948,A00113,A00454,2024-08-30 09:49:25.711,A00113_A00454,True
13949,A00454,A00113,2024-08-30 09:49:25.711,A00454_A00113,False
13950,A01465,A03048,2024-08-30 09:49:39.747,A01465_A03048,True
13951,A03048,A01465,2024-08-30 09:49:39.747,A03048_A01465,False
13952,A01465,A00454,2024-08-30 09:50:05.311,A01465_A00454,True
13953,A00454,A01465,2024-08-30 09:50:05.311,A00454_A01465,False
13954,A00709,A01298,2024-08-30 09:51:54.696,A00709_A01298,True
13955,A01298,A00709,2024-08-30 09:51:54.696,A01298_A00709,False
13956,A00669,A00748,2024-08-30 09:54:44.783,A00669_A00748,True
13957,A00748,A00669,2024-08-30 09:54:44.783,A00748_A00669,False
13958,A03128,A02927,2024-08-30 09:54:58.319,A03128_A02927,True
13959,A02927,A03128,2024-08-30 09:54:58.319,A02927_A03128,False
13960,A03128,A00037,2024-08-30 09:55:11.472,A03128_A00037,True
13961,A00037,A03128,2024-08-30 09:55:11.472,A00037_A03128,False
13962,A00037,A02927,2024-08-30 09:56:02.248,A00037_A02927,True
13963,A02927,A00037,2024-08-30 09:56:02.248,A02927_A00037,False
13964,A00058,A00523,2024-08-30 09:56:51.247,A00058_A00523,True
13965,A00523,A00058,2024-08-30 09:56:51.247,A00523_A00058,False
13966,A02205,A01796,2024-08-30 09:56:55.743,A02205_A01796,True
13967,A01796,A02205,2024-08-30 09:56:55.743,A01796_A02205,False
13968,A02205,A00710,2024-08-30 09:57:03.886,A02205_A00710,True
13969,A00710,A02205,2024-08-30 09:57:03.886,A00710_A02205,False
13970,A03772,A02077,2024-08-30 09:57:42.550,A03772_A02077,True
13971,A02077,A03772,2024-08-30 09:57:42.550,A02077_A03772,False
13972,A02453,A00526,2024-08-30 09:57:52.220,A02453_A00526,True
13973,A00526,A02453,2024-08-30 09:57:52.220,A00526_A02453,False
13974,A02978,A02496,2024-08-30 10:01:57.643,A02978_A02496,True
13975,A02496,A02978,2024-08-30 10:01:57.643,A02496_A02978,False
13976,A01298,A02565,2024-08-30 10:06:13.539,A01298_A02565,True
13977,A02565,A01298,2024-08-30 10:06:13.539,A02565_A01298,False
13978,A01135,A01782,2024-08-30 10:06:36.848,A01135_A01782,True
13979,A01782,A01135,2024-08-30 10:06:36.848,A01782_A01135,False
13980,A02218,A01782,2024-08-30 10:06:46.731,A02218_A01782,True
13981,A01782,A02218,2024-08-30 10:06:46.731,A01782_A02218,False
13982,A00257,A02910,2024-08-30 10:07:05.115,A00257_A02910,True
13983,A02910,A00257,2024-08-30 10:07:05.115,A02910_A00257,False
13984,A00709,A02587,2024-08-30 10:12:32.087,A00709_A02587,True
13985,A02587,A00709,2024-08-30 10:12:32.087,A02587_A00709,False
13986,A00333,A02130,2024-08-30 10:14:10.084,A00333_A02130,True
13987,A02130,A00333,2024-08-30 10:14:10.084,A02130_A00333,False
13988,A00669,A01298,2024-08-30 10:15:06.468,A00669_A01298,True
13989,A01298,A00669,2024-08-30 10:15:06.468,A01298_A00669,False
13990,A01760,A03145,2024-08-30 10:17:27.502,A01760_A03145,True
13991,A03145,A01760,2024-08-30 10:17:27.502,A03145_A01760,False
13992,A03145,A02840,2024-08-30 10:17:43.040,A03145_A02840,True
13993,A02840,A03145,2024-08-30 10:17:43.040,A02840_A03145,False
